,district_ID,date,disaster_type,location,district_name,province,dead,missing,injured,house_damage,public_facility_damage
545,3528,2021-02-24,landslide,Kec. Pasean Ds. Bidang,PAMEKASAN,east_java,5.0,0.0,1.0,0,1
546,1403,2021-02-23,forest and land fire,Kec. Gaung Ds. Balantaraya,INDRAGIRI HILIR,riau,0.0,0.0,0.0,0,0
547,1402,2021-02-23,forest and land fire,Kec. Kuala Cenaku Ds. Kuala Mulia,INDRAGIRI HULU,riau,0.0,0.0,0.0,0,0
548,5272,2021-02-23,flood,Kec. Rasanae Timur Kel. Lampe,KOTA BIMA,west_nusa_tenggara,0.0,0.0,0.0,0,0
549,5205,2021-02-23,flood,Kec. Woja Kec. Dompu,DOMPU,west_nusa_tenggara,0.0,0.0,0.0,0,0
550,1408,2021-02-23,forest and land fire,Kec. Rupat Ds. Sukarjo Ds. Dungun Baru Ds. Sri Tanjung Kec. Bandar Laksamana Ds. Tanjung laban Kec. Talang Muandau Ds.  Tasik serai Ds. Koto Pait Beringin Ds. Tanjung Madang Kec. Bathin Solapan Ds. Boncah Mahang Ds. Petani Kec. Mandau Kel. Batang Serosa Ds. Bandar Jaya Ds. Bantan Tua,BENGKALIS,riau,0.0,0.0,0.0,0,0
551,3321,2021-02-23,cyclone,Kec. Mranggen Ds. Karangsono Dukuh Krajan Dukuh Ploso,DEMAK,central_java,0.0,0.0,1.0,215,3
552,1473,2021-02-23,forest and land fire,Kec. Dumai Barat Kel. Bagan Keladi,KOTA DUMAI,riau,0.0,0.0,0.0,0,0
553,1116,2021-02-23,forest and land fire,Kec. Teunom Ds. Lueng Gayo,ACEH JAYA,aceh,0.0,0.0,0.0,0,0
554,3201,2021-02-23,cyclone,Kec. Cigombong Ds. Wates jaya,BOGOR,west_java,0.0,0.0,0.0,1,0
555,1610,2021-02-23,cyclone,Kec. Lubuk Keliat Desa Lubuk Keliat Desa Ulak Kembahang Desa Embacang,OGAN ILIR,south_sumatera,0.0,0.0,0.0,28,0
556,1308,2021-02-23,forest and land fire,Kec. Harau Nagari Harau,LIMA PULUH KOTA,west_sumatera,0.0,0.0,0.0,0,0
557,3201,2021-02-23,landslide,Kec. Ciampea Ds. Cinangka Kp. Kebon Teh,BOGOR,west_java,0.0,0.0,0.0,0,0
558,3322,2021-02-23,flood,Kec. Semarang Timur Kel. Mlatiharjo Kec. Semarang Utara Kec. Semarang Barat Kec. Pedurungan Kel. Muktiharjo Kidul Kec. Genuk Kel. Genuk Kec. Gayam Sari,SEMARANG,central_java,0.0,0.0,0.0,0,0
559,3201,2021-02-23,cyclone,Kec.   Cijeruk Ds.    Cipicung,BOGOR,west_java,0.0,0.0,0.0,1,0
560,6304,2021-02-23,forest and land fire,Kec. Teweh Selatan Jl.Trahean PT.EBA,BARITO KUALA,south_kalimantan,0.0,0.0,0.0,0,0
561,1804,2021-02-23,cyclone,Kec. Way Jepara Desa Labuhan Ratu,LAMPUNG TIMUR,lampung,0.0,0.0,0.0,5,0
562,3604,2021-02-23,cyclone,Kec. Tanara Ds. Sireman,SERANG,banten,0.0,0.0,1.0,2,0
563,1402,2021-02-22,forest and land fire,Kec. Kuala Cenaku Ds. Kuala Mulia,INDRAGIRI HULU,riau,0.0,0.0,0.0,0,0
564,3210,2021-02-22,flood,Kec. Kadipaten  Ds. Pagandon,MAJALENGKA,west_java,0.0,0.0,0.0,0,0
565,8201,2021-02-22,flood,Kec. Lolada Ds. Transmigrasi Jano,HALMAHERA BARAT,north_maluku,0.0,0.0,0.0,20,0
566,3172,2021-02-22,landslide,Kec. Kramat Jati Kel. Balekembang,KOTA JAKARTA TIMUR,dki jakarta,0.0,0.0,0.0,0,0
567,3201,2021-02-22,landslide,Kec. Cijeruk Ds. Warung menteng,BOGOR,west_java,0.0,0.0,0.0,1,0
568,3204,2021-02-22,cyclone,Kec. Pacet Ds. Sukarame,BANDUNG,west_java,0.0,0.0,0.0,0,0
569,3211,2021-02-22,flood,Kec. Cimalaka Ds. Cikole,SUMEDANG,west_java,0.0,0.0,0.0,0,0
570,3201,2021-02-22,cyclone,Kec. Sukajaya Ds. Sukamulih,BOGOR,west_java,0.0,0.0,0.0,1,0
571,3201,2021-02-22,landslide,Kec. Cisarua Ds. Cibeureum,BOGOR,west_java,0.0,0.0,0.0,1,0
572,3201,2021-02-22,landslide,Kec. Cijeruk Ds. Palasari,BOGOR,west_java,0.0,0.0,0.0,1,0
